Voltage,Current,Power,Energy,Frequency,PF
224.0000,0.4400,91.9000,0.2730,50.0000,0.9300
224.0000,0.4420,92.3000,0.2730,50.0000,0.9300
224.0000,0.4400,92.3000,0.2730,50.0000,0.9400
224.0000,0.4360,91.7000,0.2730,50.0000,0.9400
225.0000,0.4380,92.0000,0.2730,50.0000,0.9400
225.0000,0.4370,91.9000,0.2730,50.0000,0.9300
225.0000,0.4400,92.3000,0.2730,50.0000,0.9300
225.0000,0.4390,91.8000,0.2730,50.0000,0.9300
225.0000,0.4350,91.7000,0.2730,50.0000,0.9400
225.0000,0.4370,91.8000,0.2730,50.0000,0.9300
225.0000,0.4370,91.7000,0.2740,50.0000,0.9300
225.0000,0.4420,92.7000,0.2740,50.0000,0.9300
225.0000,0.4390,92.2000,0.2740,50.0000,0.9300
225.0000,0.4350,91.6000,0.2740,50.0000,0.9400
225.0000,0.4330,91.2000,0.2740,50.0000,0.9300
225.0000,0.4320,91.3000,0.2740,50.0000,0.9400
225.0000,0.4370,92.3000,0.2740,50.0000,0.9400
225.0000,0.4330,91.4000,0.2740,50.0000,0.9400
225.0000,0.4340,91.2000,0.2740,50.0000,0.9300
225.0000,0.4380,92.0000,0.2740,50.0000,0.9300
225.0000,0.4340,91.6000,0.2740,50.0000,0.9400
225.0000,0.4430,92.2000,0.2740,50.0000,0.9200
226.0000,0.4390,92.4000,0.2740,50.0000,0.9300
226.0000,0.4380,92.1000,0.2740,50.0000,0.9300
226.0000,0.4370,91.9000,0.2740,50.0000,0.9300
225.0000,0.4390,92.4000,0.2740,50.0000,0.9300
225.0000,0.4360,92.1000,0.2740,50.0000,0.9400
225.0000,0.4410,92.6000,0.2740,50.0000,0.9300
226.0000,0.4370,92.9000,0.2740,50.0000,0.9400
226.0000,0.4370,92.3000,0.2750,50.0000,0.9400
226.0000,0.4440,93.8000,0.2750,50.0000,0.9400
225.0000,0.4370,92.4000,0.2750,50.0000,0.9400
225.0000,0.4370,92.3000,0.2750,50.0000,0.9400
225.0000,0.4400,93.2000,0.2750,50.0000,0.9400
225.0000,0.4420,93.2000,0.2750,50.0000,0.9400
225.0000,0.4360,91.9000,0.2750,50.0000,0.9400
225.0000,0.4470,94.1000,0.2750,50.0000,0.9300
226.0000,0.4340,91.6000,0.2750,50.0000,0.9400
226.0000,0.4460,93.9000,0.2750,50.0000,0.9300
226.0000,0.4400,92.6000,0.2750,50.0000,0.9300
226.0000,0.4370,91.6000,0.2750,50.0000,0.9300
225.0000,0.4410,92.6000,0.2750,50.0000,0.9300
226.0000,0.4390,92.6000,0.2750,50.0000,0.9400
225.0000,0.4500,95.0000,0.2750,50.0000,0.9400
225.0000,0.4460,93.9000,0.2750,50.0000,0.9300
225.0000,0.4390,93.2000,0.2750,50.0000,0.9400
225.0000,0.4530,95.4000,0.2750,50.0000,0.9300
225.0000,0.4430,93.8000,0.2750,50.0000,0.9400
225.0000,0.4390,92.6000,0.2760,50.0000,0.9400
