Voltage,Current,Power,Energy,Frequency,PF
225.0000,0.1670,27.2000,0.2050,49.9000,0.7200
225.0000,0.1700,28.2000,0.2050,50.0000,0.7400
225.0000,0.1660,27.8000,0.2050,50.0000,0.7400
225.0000,0.1740,28.3000,0.2050,50.0000,0.7200
225.0000,0.1760,28.3000,0.2050,50.0000,0.7200
225.0000,0.1730,28.4000,0.2050,49.9000,0.7300
225.0000,0.1750,28.8000,0.2050,50.0000,0.7300
225.0000,0.1730,28.5000,0.2050,49.9000,0.7300
225.0000,0.1740,27.9000,0.2050,49.9000,0.7100
225.0000,0.1800,29.1000,0.2050,50.0000,0.7200
225.0000,0.1680,27.6000,0.2050,49.9000,0.7300
225.0000,0.1670,27.6000,0.2050,50.0000,0.7300
225.0000,0.1730,28.7000,0.2050,50.0000,0.7400
225.0000,0.1680,27.8000,0.2050,49.9000,0.7400
225.0000,0.1740,28.9000,0.2050,50.0000,0.7400
225.0000,0.1700,27.7000,0.2050,49.9000,0.7200
225.0000,0.1690,28.0000,0.2050,49.9000,0.7400
225.0000,0.1690,28.0000,0.2050,49.9000,0.7400
225.0000,0.1720,28.3000,0.2050,50.0000,0.7300
225.0000,0.1690,27.9000,0.2050,50.0000,0.7300
225.0000,0.1630,27.7000,0.2050,49.9000,0.7600
225.0000,0.1760,28.0000,0.2050,50.0000,0.7100
225.0000,0.1680,28.3000,0.2050,49.9000,0.7500
225.0000,0.1690,28.7000,0.2050,49.9000,0.7600
225.0000,0.1660,27.4000,0.2050,50.0000,0.7300
225.0000,0.1700,28.0000,0.2050,49.9000,0.7300
225.0000,0.1650,28.0000,0.2050,50.0000,0.7500
225.0000,0.1680,27.3000,0.2050,50.0000,0.7200
225.0000,0.1710,28.5000,0.2050,50.0000,0.7400
225.0000,0.1720,27.9000,0.2050,50.0000,0.7200
225.0000,0.1660,28.3000,0.2050,50.0000,0.7600
225.0000,0.1780,28.9000,0.2050,50.0000,0.7200
225.0000,0.1740,28.6000,0.2050,50.0000,0.7300
225.0000,0.1630,27.9000,0.2050,50.0000,0.7600
225.0000,0.1740,28.8000,0.2050,50.0000,0.7300
225.0000,0.1690,27.9000,0.2050,50.0000,0.7300
225.0000,0.1710,28.0000,0.2050,50.0000,0.7300
225.0000,0.1720,27.6000,0.2050,50.0000,0.7100
