Voltage,Current,Power,Energy,Frequency,PF
230.0000,0.1680,27.9000,0.3700,50.0000,0.7200
230.0000,0.1650,27.1000,0.3700,50.0000,0.7100
230.0000,0.1670,28.1000,0.3700,50.0000,0.7300
230.0000,0.1630,27.9000,0.3700,50.0000,0.7400
230.0000,0.1560,27.0000,0.3700,50.0000,0.7500
230.0000,0.1610,27.6000,0.3700,50.0000,0.7500
230.0000,0.1640,27.0000,0.3700,50.0000,0.7200
230.0000,0.1730,28.3000,0.3700,50.0000,0.7100
230.0000,0.1700,27.4000,0.3700,50.0000,0.7000
230.0000,0.1630,27.2000,0.3700,50.0000,0.7300
230.0000,0.1650,27.6000,0.3700,50.0000,0.7300
230.0000,0.1650,27.2000,0.3700,50.0000,0.7200
230.0000,0.1650,28.2000,0.3700,50.0000,0.7400
230.0000,0.1540,26.4000,0.3700,50.0000,0.7500
230.0000,0.1710,27.6000,0.3700,50.0000,0.7000
230.0000,0.1650,27.4000,0.3700,50.0000,0.7200
230.0000,0.1590,27.7000,0.3700,49.9000,0.7600
230.0000,0.1710,27.6000,0.3700,49.9000,0.7000
230.0000,0.1720,28.7000,0.3700,49.9000,0.7300
230.0000,0.1610,27.2000,0.3700,50.0000,0.7400
230.0000,0.1700,27.9000,0.3700,50.0000,0.7100
230.0000,0.1730,27.7000,0.3700,49.9000,0.7000
230.0000,0.1580,27.2000,0.3700,49.9000,0.7500
230.0000,0.1640,27.5000,0.3700,50.0000,0.7300
230.0000,0.1700,27.7000,0.3700,49.9000,0.7100
230.0000,0.1580,27.1000,0.3700,49.9000,0.7500
230.0000,0.1630,27.1000,0.3700,50.0000,0.7200
230.0000,0.1660,27.4000,0.3700,50.0000,0.7200
230.0000,0.1620,28.2000,0.3700,50.0000,0.7600
230.0000,0.1600,26.4000,0.3700,49.9000,0.7200
230.0000,0.1660,27.6000,0.3700,49.9000,0.7200
230.0000,0.1660,27.1000,0.3700,50.0000,0.7100
230.0000,0.1640,27.6000,0.3700,50.0000,0.7300
230.0000,0.1660,26.8000,0.3700,50.0000,0.7000
230.0000,0.1630,27.6000,0.3700,50.0000,0.7400
230.0000,0.1660,27.2000,0.3700,49.9000,0.7100
